mp-1067,1.49
mp-10670,0.26
mp-10674,52.17
mp-10675,0.67
mp-10676,0.26
mp-10873,1.1
mp-10877,0.02
mp-10879,-20.89
mp-10883,1.5
mp-10885,-314.59
mp-10889,0.59
mp-10890,0.13
mp-10891,8.78
mp-10892,1.89
mp-10893,-6.97
mp-10894,0.31
mp-10896,0.26
mp-10897,0.06
mp-10899,7.26
mp-10901,0.11
mp-10904,0.01
mp-10908,9.82
mp-10909,0.78
mp-10910,0.27
mp-10911,0.16
mp-11029,0.04
mp-11209,0.31
mp-11220,0.2
mp-11227,0.0
mp-11229,3.75
mp-11230,0.33
mp-11231,0.0
mp-11232,0.89
mp-11233,0.71
mp-11351,0.3
mp-1143,0.16
mp-11511,0.44
mp-11512,3.86
mp-11537,0.01
mp-11539,0.09
mp-11809,0.15
mp-1189,0.14
mp-12004,0.23
mp-1208,0.05
mp-1234,0.04
mp-12550,0.55
mp-12553,1.2
mp-12657,0.04
mp-12684,0.16
mp-12734,0.09
mp-12760,0.01
mp-12772,0.34
mp-12773,0.97
mp-12777,7.13
mp-12782,1.02
mp-12802,0.61
mp-12961,10.48
mp-12990,0.02
mp-1306,1.31
mp-13079,0.81
mp-13090,0.32
mp-13094,0.45
mp-13272,0.14
mp-1330,0.95
mp-13311,0.25
mp-13431,0.54
mp-13504,0.25
mp-13944,0.13
mp-1399,3.56
mp-14070,2.63
mp-14600,0.56
mp-1471,0.62
mp-1498,0.03
mp-15254,0.38
mp-1550,0.53
mp-15621,0.01
mp-15819,0.03
mp-15960,0.11
mp-1638,0.0
mp-16481,0.22
mp-16482,11.73
mp-16491,0.09
mp-16493,0.93
mp-16494,11.65
mp-16495,0.6
mp-16496,0.34
mp-16497,1.23
mp-16501,0.83
mp-16503,0.59
mp-1651,2.29
mp-16517,0.48
mp-16519,0.45
mp-16521,0.06
mp-16523,0.6
mp-16524,0.27
mp-16526,0.27
mp-16528,0.19
mp-16529,0.49
mp-16613,2.13
mp-16719,0.0
mp-16720,0.29
mp-16723,0.13
mp-16755,20.86
mp-17017,0.17
mp-17129,0.55
mp-1749,0.32
mp-178,1.08
mp-17856,0.08
mp-1791,0.06
mp-18093,0.64
mp-1823,0.13
mp-1842,0.17
mp-1877,0.01
mp-188,0.22
mp-1938,0.14
mp-1953,0.98
mp-196,0.09
mp-20151,0.35
mp-20338,0.08
mp-20439,-3.07
mp-20595,0.37
mp-20872,-5.85
mp-2088,0.15
mp-2093,0.05
mp-21109,0.58
mp-21158,0.27
mp-2121,0.0
mp-2134,0.0
mp-21382,1.33
mp-2172,0.54
mp-21910,25.97
mp-22318,0.26
mp-2294,2.63
mp-23080,0.18
mp-2322,0.05
mp-2361,0.1
mp-23697,-5.44
mp-23704,0.17
mp-23709,2.14
mp-23807,0.11
mp-2404,0.0
mp-2413,1.42
mp-249,0.51
mp-2500,0.14
mp-25469,140.69
mp-2557,0.16
mp-259,0.23
mp-2593,1.45
mp-2614,0.49
mp-2647,0.84
mp-2654,0.36
mp-2658,1.07
mp-2694,0.11
mp-2733,0.27
mp-27462,34.05
mp-2772,0.03
mp-2775,0.2
mp-27863,58.36
mp-27927,0.39
mp-28020,1.21
mp-2824,0.31
mp-2856,0.17
mp-29066,0.29
mp-2909,5.0
mp-2910,15.88
mp-2920,0.39
mp-29596,0.53
mp-29674,0.32
mp-29736,0.34
mp-30175,0.35
mp-30177,0.22
mp-30178,0.0
mp-30180,0.19
mp-30181,0.3
mp-30182,0.11
mp-30183,0.09
mp-30338,0.2
mp-3038,0.83
mp-3050,0.0
mp-3053,2.65
mp-30750,0.26
mp-3081,0.09
mp-30816,2.65
mp-30817,4.38
mp-30818,1.94
mp-30821,2.63
mp-3094,0.14
mp-3098,2.0
mp-31059,4.93
mp-31081,0.3
mp-31178,0.45
mp-31182,0.52
mp-31184,0.07
mp-31185,0.67
mp-31186,-5.12
mp-31187,0.07
mp-31220,28.3
mp-31405,-15.64
mp-3159,0.89
mp-3161,0.04
mp-3173,0.43
mp-3194,0.2
mp-3197,0.41
mp-3286,0.89
mp-3340,0.4
mp-3405,1.59
mp-3416,0.21
mp-34993,1.0
mp-3513,0.2
mp-3536,1.24
mp-3574,9.13
mp-3623,1.07
mp-36775,0.09
mp-3698,0.33
mp-3701,0.19
mp-37091,0.8
mp-3736,0.49
mp-3747,0.05
mp-3748,2.23
mp-3751,-6.27
mp-37614,0.32
mp-3792,0.23
mp-3803,0.02
mp-3805,0.2
mp-3807,2.18
mp-3833,0.29
mp-38394,0.41
mp-3886,0.03
mp-3909,0.04
mp-3944,0.0
mp-4054,0.22
mp-4262,0.27
mp-4410,0.15
mp-4471,0.22
mp-4499,0.23
mp-4586,0.98
mp-4593,0.32
mp-4656,0.17
mp-4678,0.05
mp-468,1.33
mp-4771,1.84
mp-4798,0.04
mp-4842,1.05
mp-4922,-25.58
mp-4930,0.33
mp-4979,0.73
mp-5015,0.41
mp-505572,0.2
mp-5063,0.07
mp-5122,0.65
mp-5149,0.39
mp-5221,0.05
mp-530274,5.41
mp-530399,0.61
mp-5304,0.18
mp-531611,0.28
mp-5323,0.99
mp-5347,85.58
mp-5407,0.45
mp-5409,0.06
mp-541047,0.68
mp-542569,0.18
mp-542915,0.4
mp-545974,0.23
mp-5479,1.95
mp-5491,-51.31
mp-5492,0.1
mp-558636,1.06
mp-559390,0.24
mp-5606,3.0
mp-560927,0.04
mp-567191,0.49
mp-567305,0.75
mp-567589,0.0
mp-567929,0.46
mp-568106,0.41
mp-568171,0.84
mp-568718,0.07
mp-568809,0.09
mp-568991,0.06
mp-569458,0.02
mp-569558,0.41
mp-569916,-26.85
mp-570001,0.46
mp-570150,0.43
mp-570409,0.0
mp-570677,0.08
mp-570784,0.04
mp-570822,6.51
mp-571039,1.13
mp-571247,0.3
mp-571330,0.04
mp-571419,0.04
mp-571506,0.24
mp-571619,0.42
mp-5723,0.69
mp-574239,12.9
mp-5748,0.12
mp-5778,0.0
mp-5798,0.24
mp-5920,0.04
mp-5921,2.09
mp-5928,1.04
mp-593,0.0
mp-603719,0.84
mp-605663,0.74
mp-607111,0.45
mp-631484,0.22
mp-631503,-5.89
mp-631543,-6.12
mp-631551,-5.87
mp-637575,0.04
mp-638765,3.09
mp-639874,0.77
mp-640266,0.01
mp-642363,-4.46
mp-644229,0.76
mp-661,0.03
mp-669546,0.39
mp-675172,1.37
mp-676861,1.19
mp-684031,0.03
mp-684591,1.62
mp-685036,2.17
mp-7048,0.82
mp-7068,0.19
mp-7186,0.24
mp-7187,1.72
mp-7188,0.31
mp-7189,0.02
mp-7376,0.22
mp-7377,0.33
mp-7400,0.25
mp-7405,0.2
mp-754157,0.2
mp-754401,0.89
mp-754624,0.51
mp-754812,3.05
mp-755175,0.54
mp-755483,0.59
mp-756,0.06
mp-756214,0.41
mp-756630,0.23
mp-7574,0.38
mp-758371,0.24
mp-759943,0.78
mp-760396,0.74
mp-768,0.0
mp-768572,3.9
mp-7692,0.08
mp-7704,0.27
mp-771,1.17
mp-7723,-4.87
mp-7760,4.65
mp-776475,0.06
mp-776490,0.16
mp-782035,-19.61
mp-7848,0.81
mp-7892,0.27
mp-7906,0.92
mp-7909,0.74
mp-7910,0.73
mp-796,1.58
mp-7964,1.29
mp-8001,1.41
mp-8017,0.66
mp-8022,0.13
mp-8023,0.09
mp-803,0.05
mp-8039,0.95
mp-8110,0.47
mp-829,1.42
mp-8439,0.13
mp-846,0.37
mp-8462,0.46
mp-8543,0.89
mp-858,0.04
mp-861913,1.63
mp-861953,29.81
mp-861991,0.33
mp-862287,0.04
mp-862288,3.85
mp-862297,0.08
mp-862445,0.0
mp-862546,1.09
mp-862656,0.13
mp-862694,0.27
mp-862700,0.01
mp-864610,1.87
mp-864674,1.33
mp-864780,0.53
mp-864878,14.7
mp-864950,0.89
